name,address,website,phone_number,reviews_count,reviews_average
PT. Festino Indonesia,"Wisma 77 Tower 1, 15th Floor, Jl. Letjen S. Parman No.Kav 77, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",festino.co.id,0817-888-822,3,5.0
Carboline Indonesia - PT. Carboline Indonesia Solusi,"Wisma 77 12th floor, RT.6/RW.3, Slipi, Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",carboline.id,(021) 5363070,,
PT. Chandra Asri Pacific Tbk,"8, RW.4, Slipi, Palmerah, West Jakarta City, Jakarta",,,1,5.0
PT.Corsa Industries,"Jl. KS Tubun IIC No.1 6, RT.6/RW.1, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",corsa.co.id,(0622) 15480408,1,1.0
Password Solusi Sistem. PT,"Wisma 77 Tower 1, Jl. Letjen S. Parman No.Kav. 77 Lantai 15, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",password.co.id,(021) 5363207,441,5.0
Lautan Otsuka Chemical,"Jl. Aipda K.S. Tubun No.77 Slipi Palmerah Jakarta Barat DKI Jakarta RT.14, Lt 5, RT.14/RW.5, Slipi, Kec. Palmerah, Daerah Khusus Ibukota Jakarta 11410",lautanotsuka.com,(021) 53671250,2,4.5
PT. Makmur Meta Graha Dinamika (Head Office),"Wisma 77 Tower 2, Jl. Letjen S. Parman No.77, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",makmurmeta.co.id,(021) 29675888,11,4.6
PT. Imagi Mediacore Asia,"Grand Slipi Tower RT.1/RW.4, Palmerah, lt.42G-42H, Jl. Tol S. Parman No.Kav. 22-24, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",imaginarium.co.id,0812-1291-115,,
PT Cohesive Indonesia Group,"Citicon Tower, Slipi, Palmerah, West Jakarta City, Jakarta 11410",cohesivegroup.com,(021) 29866068,23,4.9
PT Global Niaga Sejahtera,"Grand Slipi Tower Lt.5 F, Jl. Letjen S. Parman Kav 22-24, RT.1/RW.5, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,(021) 50110009,1,5.0
Tri Banyan Tirta,"Jl. Perjuangan No.1, RT.5/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",altospringswater.com,(021) 5300689,,
Mashida Internasional Blockchain,"CHR Office, Grand Slipi Tower, Jl. Letjen S. Parman No.Kav 22-24 Lantai 9 Unit O, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",mashida.io,0858-9282-4600,,
Wacker Chemicals SA Pte Ltd,"Jl. Aipda K.S. Tubun No.77 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.14/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",wacker.com,(021) 53671278,1,5.0
Pt Spotelindo Mitra Utama,"Letjen S. Parman St No.18 E, RT.4/RW.3, Slipi, Palmerah, West Jakarta City, Jakarta 11410",,,,
PT Pembangunan Telekomunikasi Indonesia,"Gedung Dana Pensiun Telkom, Jl. Letjen S. Parman No.56 Lantai 2, RT.14/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",bangtelindo.com,(021) 53672875,7,4.7
PT Septi Duta Insan,"Grand Slipi Tower, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450",,0812-6888-8239,1,5.0
PD Citra Rahayu Konveksi Jakarta,"Jl. Ks. Tubun III Dalam No.3 10, RT.3/RW.7, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,0856-9744-5994,1,5.0
CV. Bungur Jaya,"Jl. Ks. Tubun IIIC No.29, RT.2/RW.7, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,(021) 5303858,,
Centrico,"Letjen S. Parman St No.Kav 77, RT.6/RW.3, Slipi, Palmerah, West Jakarta City, Jakarta 11410",,(021) 5363838,,
Hutan Kusuma. PT,"Jl Letjen S Parman Kav 67 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.10/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,(021) 5306448,,
Grand Slipi Tower,"4, Jl. Letjen S. Parman No.24, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",grandslipi.com,0813-8560-2131,169,4.4
UNISON KARYATAMA,"Grand Slipi Tower, Jl. Letjen S. Parman No.1, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,,
PT Global Ace Coco - Indonesian Charcoal Manufacturer,"CHR Office, Gedung Grand Slipi Tower Lt. 9 Unit O, Jl. Letjen S. Parman No.Kav 22-24, RT.1/RW.4, Daerah Khusus Ibukota Jakarta 11480",globalacecoco.com,,2,5.0
Cabot Indonesia,"Jl. Letjen S Parman Kav 75 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.4/RW.9, Kota Bambu Sel., Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420",cabotcorp.com,(021) 5309255,,
iGuana Technology. PT,"Gedung Total, 3rd Floor, Suite 0301, JL. Letjend. S. Parman, Kavling 106A, RT.10/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,(021) 5680502,2,1.0
periQitiwshop,"Jl. G1 No.1, RT.11/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,0877-8845-1661,,
Risana Indah Forest Industries,"Letjen S. Parman St Blok G No.Kav 67, RT.10/RW.4, Slipi, Palmerah, West Jakarta City, Jakarta 11410",,(021) 5306448,1,5.0
PT. Atop Indonesia Technologies,"Wisma Slipi, Wisma Slipi 3rd Floor, Jl. Letjen S. Parman No.Kav.12, RT.12/RW.1, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,(021) 5326171,2,1.0
PT. Devcom Indo Teknik,"CHR office, Gd. Grand Slipi Tower lt.9 Unit 0, Jl. Letjen S. Parman No.kav 22-24, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",devcomindoteknik.com,+1 628-123-4000,,
Perawang Lumber Industri,"Jl. Letjen S Parman Kav 77 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,(021) 53670888,,
Polytronstore.com,"DKI, Jl. Slipi II No.15, RT.9/RW.1, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,0800 1100999,2,3.5
PT. Jofbiltraco Semesta,"Jl. K.S. Tubun No.81 B, RT.9/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11210",jofbiltraco.co.id,(021) 5346270,1,5.0
Kbgb slipikatamso,"Jl ks tubun 2c blok d no 47n, RT.4/RW.1, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,0857-7261-1964,1,5.0
Graha Grc Board,"Letjen S. Parman St No.Kav. 64, RT.8/RW.4, Slipi, Palmerah, West Jakarta City, Jakarta 11410",grcboard.com,(021) 53666800,209,4.5
Bina Balantak Utama. PT,"Jl Letjen S Parman Kav 67 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.11/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",binabalantak.com,(0967) 521142,,
Asia Warna,"Letjen S. Parman St No.14, RT.10/RW.4, Slipi, Palmerah, West Jakarta City, Jakarta 11410",,(021) 5329518,,
Vovovom,"Jl. K.S. Tubun No.130 2, RT.2/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",vovovom.com,(021) 5347328,5,4.0
INSAN people group,"Grand Slipi Tower, Jl. Letjen S. Parman No.1 1, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,(021) 29022551,,
Tanjungenim Lestari Pulp & Paper,"Jl. Letjen S Parman Kav 62-63 Tower B Slipi Palmerah Jakarta Barat DKI Jakarta, RT.8/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,(021) 5358450,1,3.0
PT Software Information System Nusantara,"Grand Slipi Tower 18th Floor, Jl Jend S Parman Kav 22-24, RT.1/RW.4, Palmerah, Kec. Palmerah, Jakarta, Daerah Khusus Ibukota Jakarta 11480",sisn.co.id,(021) 29252295,1,5.0
IFA,"Jl. Letjen S Parman Kav 62-63 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.8/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,(021) 5306711,,
Mitra Solusi Infokom (MSInfokom),"Grand Slipi Tower, Jl. Letjen S. Parman No.24 Floor 41 Kav. 22, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",msinfokom.com,(021) 29022310,9,4.7
KarbonHealth,"Jl. KS Tubun IIC No.4 4, RT.6/RW.1, Slipi, Kec. Palmerah, Jakarta, Daerah Khusus Ibukota Jakarta 11410",,0877-8519-0322,,
PT Alpha Merah Kreasi,"Wisma 77 Tower 2, Jl. Letjen S. Parman No.Kav. 77 Lt. 3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,(021) 29675858,,
PT SUPLINDO LAUTAN ABADI,"CHR OFFICE, GEDUNG GRAND SLIPI TOWER LT 9 UNIT O, Jl. Letjen S. Parman No.KAV 22-24, RT.1/RW.4, Palmerah, Kec. Palmerah, KOTA ADM. JAKARTA BARAT, Daerah Khusus Ibukota Jakarta 11480",,,,
Generasi Pemuda Slipi,"Jl. KS Tubun IV Jl. G No.28 7, RT.11/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,1,5.0
Haru Setia Prima Slipi,"Jl. G1 rt.005/03 no.29, RT.5/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",harusetiaprima.com,0813-9828-7202,23,4.9
GABI,"Grand Slipi Tower, Letjen S. Parman St No.1 Lt. 35, RT.1/RW.4, Palmerah, West Jakarta City, Jakarta 11480",,(021) 50111319,,
HES Corporation,"Wisma Slipi, Jl. Letjen S. Parman Lt. 7, RT.12/RW.1, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,,
CODACO,"Grand Slipi Tower, kav.22-24, Jl. Letjen S. Parman, RT.1/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,(021) 29222965,1,4.0
Tabalar Wood Industries,"Letjen S. Parman St Blok G No.Kav 67, RT.10/RW.4, Slipi, Palmerah, West Jakarta City, Jakarta 11410",,(021) 5306448,,
PT. INTINIAGA SUSKES ABADI,"Blok G No.Kav 64, Jl. Letjen S. Parman No.8, RT.8/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,1,5.0
81L,"Jl. K.S. Tubun No.81L 4, RT.4/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,,
Graha VIVERE,"Graha Vivere, Jl. Letjen S. Parman No.6 1, RT.1/RW.5, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11471",vivere.co.id,(021) 53651588,155,4.3
Halisa,"Letjen S. Parman St Blok G No.Kav 67, RT.10/RW.4, Slipi, Palmerah, West Jakarta City, Jakarta 11410",,(021) 5306448,,
vOffice - Grand Slipi Tower (Virtual Office | Serviced Office | Meeting Room),"Grand Slipi Tower 42G-H Jl. S Parman Kav 22-24 RT/RW. 01/04 Kel, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",voffice.co.id,0812-8005-5105,9,5.0
Digital Startup Nusantara Pt,"No.8, Jl. KS Tubun IIC, RT.2/RW.1, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,,
Slipi,"Jl. Aipda KS. Tubun II A No.99, RT.5/RW.1, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,,
Bintang,"Jalan G2 Nomer 2G, RT.3/RW.2, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,,
JBD Holdings Inc - Jakarta,"Grand Slipi Tower, Jalan Jend. S. Parman No.22-24 LT. 47, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,(021) 5362977,,
PT.MECOSIN INDONESIA,"Jl. Palmerah Utara No.14 1, RT.1/RW.5, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,1,5.0
Wisma Slipi,"Wisma Slipi, Letjen S. Parman St No.12 Kav. 12, RT.12/RW.1, Kemanggisan, Palmerah, West Jakarta City, Jakarta 11480",,(021) 5483658,989,4.3
Mimo Pay,"Wisma Barito Pacific - Tower A, 6th Floor, Jl. Letjen S. Parman No.Kav 62-63, RT.8/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,(021) 5344838,1,5.0
Pt. Ep Vom Indo,"Jl. K.S. Tubun No.130 2, RT.2/RW.7, Slipi, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,1,4.0
Multi Indo Panels,"Jl. Letjen S. Parman Jl. G No.Kav 62-63 8, RT.8/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,(021) 5306040,,
Nopco Paper Technology (Asia),"Jl. Aipda K.S. Tubun No.77 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.14/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,(021) 53673225,,
Telesindo Shop - Slipi Jaya Plaza,"Slipi Jaya Plaza 2nd Floor Blok. C No. 10, JL. Letjen. S. Parman, RT.12/RW.1, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",telesindoshop.com,(021) 5304051,4,3.8
PT Aneka Virya Persada,"Grand Slipi Tower, Jl. Letjen S. Parman No.24 unit 42G-H, RT.4/RW.3, Slipi, Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,0815-1005-8778,,
Satria Energindo,"Letjen S. Parman St No.Kav 77, RT.6/RW.3, Slipi, Palmerah, West Jakarta City, Jakarta 11410",satriagroup.co.id,(021) 53660381,1,5.0
Apotek Mitra Sehat,"Jl. Slipi II No.1, RT.1/RW.1, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",business.site,0822-1717-3025,1,5.0
PT Sinta Prima Feedmill,"Jl. Sulaiman No.27A, RT.2/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",sintafeed.com,(021) 5480959,64,4.2
Al khanza laundry,"Gg. RS Pelni No.3 9, RT.9/RW.1, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,0899-7469-614,1,5.0
Wukirasari,"Letjen S. Parman St Blok G No.Kav 67, RT.10/RW.4, Slipi, Palmerah, West Jakarta City, Jakarta 11410",,(021) 5306464,,
PT. Duta Putra Service,"Jl. Aipda KS Tubun IV 1 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.2/RW.4, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11410",,(021) 5493228,,
PT.Hikmah Jaya Perkasa,"RQ4X+QJH, Jl. Brigjen Katamso, RT.2/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,(021) 5484890,,
