name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
PT. Cakrawala Cityproducts Makmur,"Dasar, Jiwasraya, Jak-Pus, Jl. RP. Soeroso No.41, Menteng, Kec. Menteng, Kota, Daerah Khusus Ibukota Jakarta 10350",,No,0859-5918-1677,,
PT LEMTEK KONSULTAN INDONESIA,"Jl. Cimandiri No.1c, RT.1/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,,,
Biner Teknologi Indonesia,"Gedung Arva, Jl. Cikini Raya No.60 Lt.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,(021) 21237976,6,5.0
PT. Takeda Indonesia (Sales Office - Jakarta),"Jl. RP. Soeroso No.30 9, RT.9/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",takeda.com,Yes,(021) 29399999,4,4.5
Braga Technologies Jakarta Office,"Jl. RP. Soeroso No.25, RT.9/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",braga.co.id,Yes,,32,5.0
FRUTERS Indonesia,"Jl. HOS. Cokroaminoto No.120 11, RT.11/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,0811-8080-811,13,3.8
PT. ELOAH BAHTERA TEKNOLOGI,"Gedung Arva, Jl. RP. Soeroso Lt.3, Gondangdia, Menteng, Central Jakarta City, Jakarta 10350",,No,0822-9999-0120,,
Cashbac,"Jl. Timor No.6 Lantai 2, RT.9/RW.4, Gondangdia, Kec. Menteng, Jakarta, Daerah Khusus Ibukota Jakarta 10350",,No,(021) 80681242,35,4.6
Jakarta Infinitium Office,"Jl. Kendal No.4 10, RT.10/RW.6, Dukuh Atas, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",infinitium.com,Yes,(021) 29223058,56,4.8
Proyek Menteng,"Jl. Cimahi No.8 5, RT.5/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",,,,3,4.7
7Langit,"Jl. Bandung No.17 13, RT.13/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",7langit.com,Yes,(021) 22391116,34,4.3
Crimson Development,"Jl. Ciasem No.4, RT.4/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,(021) 2305884,1,4.0
PT. Seruni Mobile International,"Jiwasraya, Lantai 3 Office Building, Jl. RP. Soeroso No.41, RT.2/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,No,(021) 3924205,,
PT Asia Fortuna Sejahtera,"Jl. Raden Saleh Raya No.39 G 1, RT.1/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,(021) 3140117,1,5.0
PT Schon,"No.1C1,, Jl. Ciliman, RT.6/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,No,,2,5.0
PT. Duta Anggada Realty Tbk,"Jl. Teuku Cik Ditiro No.33, RT.8, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,(021) 3144426,,
PT SAKURA SYSTEM SOLUTIONS,"Jl. Probolinggo No.18 1, RT.1/RW.2, Gondangdia, Kec. Menteng, Jakarta, Daerah Khusus Ibukota Jakarta 10350",sakura-system.co.id,Yes,(021) 3915599,17,4.6
Abadi Sentosa,"Jl. Cilosari No.20 6, RT.6/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",abdisentosa.co.id,Yes,(021) 3907222,2,4.0
Wijaya Kusuma Contractors,"Jl. RP. Soeroso No.32 3rd Floor, RT.9/RW.5, Cikini, Menteng, Central Jakarta City, Jakarta 10330",wkc.co.id,Yes,(021) 3905658,161,4.4
Venture Mindlabs Custom Software Development,"Jl. Yusuf Adiwinata No.34, RT.2/RW.3, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",mindlabs.co.id,Yes,0877-7772-7227,,
PT. Laksanatama Tiara Fajarindo Indonesia,"Gedung Arva, No lantai 5 (lima), Jl. Cikini Raya No.60, RT.14/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",,,(021) 31969988,1,5.0
XIVA INDONESIA - OFFICE,"Bea Cukai, Gd. Arva, Jl. Gondangdia Dalam No.40 Lt.3, Gondangdia, Menteng, Central Jakarta City, Jakarta 10330",,No,0878-0001-6660,,
Timah PT Persero Tbk,"Jl. Tanjung 52-A Gondangdia Menteng Jakarta Pusat DKI Jakarta, RT.7/RW.1, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",,,(021) 3444011,4,4.0
